Gender,Grade,Age,Language_spoken_best,Reading_habits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other/Prefer not to say,9th grade,15,English,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,15,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,14,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,9th grade,14,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,9th grade,14,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other/Prefer not to say,9th grade,15,Both/same level,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,15,English,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,9th grade,14,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,14,Other,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,15,English,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,14,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,14,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,9th grade,14,French,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,14,French,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,9th grade,14,Other,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,10th grade,15,English,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,10th grade,16,English,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,10th grade,15,English,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,10th grade,15,English,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,15,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,16,Other,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,15,Both/same level,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,15,Other,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,15,Both/same level,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,15,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,10th grade,15,Both/same level,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,10th grade,15,English,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,15,Both/same level,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,10th grade,15,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,10th grade,15,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other/Prefer not to say,11th grade,16,English,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,16,English,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,11th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,11th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,16,Both/same level,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,17,Both/same level,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,17,English,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,11th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,16,Both/same level,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,11th grade,17,English,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,17,Both/same level,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,12th grade,17,French,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,12th grade,18,Both/same level,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,18,Both/same level,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,18,French,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,12th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,18,English,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,17,French,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,17,English,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,17,Both/same level,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,17,Both/same level,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,17,English,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,12th grade,17,Both/same level,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,