Day,UV_index,Ambient_Temp,Avg_Wind_Speed,Humidity,Brick_Tavg_UV,Wood_Tavg_UV,Concrete_Tavg_UV,Granite_Tavg_UV,Pladur_Tavg_UV,Brick_Tavg_Oven,Wood_Tavg_Oven,Concrete_Tavg_Oven,Granite_Tavg_Oven
1,10,31,9,25,48.7,44.9,48.7,49.6,44.9,43.7,44.8,48.7,34
2,9,32,6,26,51,47.4,51,50.5,42.7,43.7,45.9,51,34.8
3,11,33,7,22,54.9,50.9,54.9,53.1,48.1,43.7,46.6,54.9,34.8
4,11,33,14,24,55,53.7,55,53.3,47.9,43.9,44.2,55,36
5,5,33,12,24,46.5,44.3,46.5,44.6,40.7,43.6,45.6,46.5,36.6
6,9,33,5,32,52.3,49.9,52.3,51.4,42.6,40.1,39.7,52.3,33.4
7,10,33,12,35,53.9,52.7,53.9,53.5,49.1,41,41.1,53.9,33.2
8,10,30,17,31,45.9,45.5,45.9,49.9,45.9,43.2,45.7,45.9,34.3
9,10,32,12,22,51.9,51.6,51.9,52,46.8,42.5,43.6,51.9,34.5
10,9,36,8,23,54.4,53.8,54.4,54,48.1,43.6,43.8,54.4,34.5
11,10,34,14,13,48.9,50.5,48.9,50.6,46.9,44.4,42.4,48.9,35
12,10,33,9,15,51.3,50.5,51.3,52.4,48.1,43.1,42,51.3,33.9
13,10,31,12,24,46.9,45.2,46.9,50.3,45.2,42.6,41,46.9,34.4
14,9,33,12,21,49.6,49.5,49.6,48.4,43,43.9,42.3,49.6,34.6